TABLE 3.  IMMIGRANTS ADMITTED BY COUNTRY AND REGION OF BIRTH,,,,,,,,,,,,
FISCAL YEARS 1989-99,,,,,,,,,,,,
,,,,,,,,,,,,
Portugal," 3,758 "," 4,035 "," 4,524 "," 2,748 "," 2,081 "," 2,169 "," 2,615 "," 2,984 "," 1,665 ","1,536","1,071",
Romania," 4,573 "," 4,647 "," 8,096 "," 6,500 "," 5,601 "," 3,444 "," 4,871 "," 5,801 "," 5,545 ","5,112","5,686",
Russia, X , X , X ," 8,857 "," 12,079 "," 15,249 "," 14,560 "," 19,668 "," 16,632 ","11,529","12,347",
San Marino, - , - , 1 , - , 2 , - , 2 , 3 , - ,-,-,
Slovak Republic, X , X , X , X , 10 , 221 , 503 , 663 , 629 ,491,493,
Slovenia, X , X , X , 8 , 50 , 67 , 65 , 77 , 62 ,57,58,
Soviet Union  3," 11,128 "," 25,524 "," 56,980 "," 4,653 "," 7,369 "," 6,954 "," 6,784 "," 3,513 "," 2,944 ","6,336","5,058",
Spain," 1,550 "," 1,886 "," 1,849 "," 1,631 "," 1,388 "," 1,418 "," 1,321 "," 1,659 "," 1,241 ","1,043",874,
Sweden," 1,078 "," 1,196 "," 1,080 "," 1,463 "," 1,393 "," 1,140 ", 976 ," 1,251 ", 958 ,823,822,
Switzerland, 788 , 845 , 696 ," 1,023 ", 972 , 877 , 881 ," 1,006 "," 1,063 ",828,649,
Tajikistan, X , X , X , 186 , 336 , 568 , 706 , 634 , 311 ,66,104,
Turkmenistan, X , X , X , 34 , 48 , 68 , 84 , 121 , 99 ,44,65,
Ukraine, X , X , X ," 14,383 "," 18,316 "," 21,010 "," 17,432 "," 21,079 "," 15,696 ","7,448","10,123",
United Kingdom," 14,090 "," 15,928 "," 13,903 "," 19,973 "," 18,783 "," 16,326 "," 12,427 "," 13,624 "," 10,708 ","9,018","7,690",
Uzbekistan, X , X , X ," 1,712 "," 2,664 "," 3,435 "," 3,645 "," 4,687 "," 3,312 ",601,"1,223",
Yugoslavia  3," 2,496 "," 2,828 "," 2,713 "," 2,504 "," 2,230 "," 2,038 "," 2,907 "," 3,605 "," 2,793 ","2,408","1,897",
Asia                        ," 312,149 "," 338,581 "," 358,533 "," 356,955 "," 358,047 "," 292,589 "," 267,931 "," 307,807 "," 265,810 ","219,696","199,411",
Afghanistan," 3,232 "," 3,187 "," 2,879 "," 2,685 "," 2,964 "," 2,344 "," 1,424 "," 1,263 "," 1,129 ",831,878,
Bahrain, 47 , 58 , 58 , 81 , 93 , 87 , 78 , 76 , 80 ,53,70,
Bangladesh," 2,180 "," 4,252 "," 10,676 "," 3,740 "," 3,291 "," 3,434 "," 6,072 "," 8,221 "," 8,681 ","8,621","6,046",
Bhutan, 1 , 1 , 2 , 1 , 2 , 2 , 2 , 8 , 6 ,6,4,
Brunei, 16 , 16 , 15 , 17 , 26 , 14 , 14 , 20 , 6 ,19,16,
Burma," 1,170 "," 1,120 ", 946 , 816 , 849 , 938 ," 1,233 "," 1,320 "," 1,085 ","1,371","1,204",
Cambodia," 6,076 "," 5,179 "," 3,251 "," 2,573 "," 1,639 "," 1,404 "," 1,492 "," 1,568 "," 1,638 ","1,439","1,400",
"China, People's Republic"," 32,272 "," 31,815 "," 33,025 "," 38,907 "," 65,578 "," 53,985 "," 35,463 "," 41,728 "," 41,147 ","36,884","32,204",
Cyprus, 284 , 316 , 243 , 262 , 229 , 204 , 188 , 187 , 148 ,119,107,
Hong Kong," 9,740 "," 9,393 "," 10,427 "," 10,452 "," 9,161 "," 7,731 "," 7,249 "," 7,834 "," 5,577 ","5,275","4,917",
India," 31,175 "," 30,667 "," 45,064 "," 36,755 "," 40,121 "," 34,921 "," 34,748 "," 44,859 "," 38,071 ","36,482","30,237",
Indonesia," 1,513 "," 3,498 "," 2,223 "," 2,916 "," 1,767 "," 1,367 "," 1,020 "," 1,084 ", 906 ,"1,020","1,187",
Iran," 21,243 "," 24,977 "," 19,569 "," 13,233 "," 14,841 "," 11,422 "," 9,201 "," 11,084 "," 9,642 ","7,883","7,203",
Iraq," 1,516 "," 1,756 "," 1,494 "," 4,111 "," 4,072 "," 6,025 "," 5,596 "," 5,481 "," 3,244 ","2,220","3,372",
Israel," 4,244 "," 4,664 "," 4,181 "," 5,104 "," 4,494 "," 3,425 "," 2,523 "," 3,126 "," 2,448 ","1,991","1,858",
Japan," 4,849 "," 5,734 "," 5,049 "," 11,028 "," 6,908 "," 6,093 "," 4,837 "," 6,011 "," 5,097 ","5,138","4,217",
Jordan," 3,921 "," 4,449 "," 4,259 "," 4,036 "," 4,741 "," 3,990 "," 3,649 "," 4,445 "," 4,171 ","3,255","3,274",
Korea," 34,222 "," 32,301 "," 26,518 "," 19,359 "," 18,026 "," 16,011 "," 16,047 "," 18,185 "," 14,239 ","14,268","12,840",
Kuwait, 710 , 691 , 861 , 989 ," 1,129 "," 1,065 ", 961 ," 1,202 ", 837 ,749,803,
Laos," 12,524 "," 10,446 "," 9,950 "," 8,696 "," 7,285 "," 5,089 "," 3,936 "," 2,847 "," 1,935 ","1,612",854,
Lebanon," 5,716 "," 5,634 "," 6,009 "," 5,838 "," 5,465 "," 4,319 "," 3,884 "," 4,382 "," 3,568 ","3,290","3,040",
Macau, 246 , 301 , 267 , 320 , 334 , 287 , 373 , 453 , 277 ,276,294,
Malaysia," 1,506 "," 1,867 "," 1,860 "," 2,235 "," 2,026 "," 1,480 "," 1,223 "," 1,414 "," 1,051 ","1,011",994,
Maldives, - , - , 1 , - , 2 , - , 1 , 1 , 1 ,1,-,
Mongolia, - , - , 2 , 6 , 8 , 21 , 17 , 17 , 22 ,26,41,
Nepal, 134 , 184 , 174 , 212 , 257 , 257 , 312 , 431 , 447 ,476,453,
Oman, 18 , 9 , 5 , 24 , 21 , 32 , 31 , 25 , 36 ,25,40,
Pakistan," 8,000 "," 9,729 "," 20,355 "," 10,214 "," 8,927 "," 8,698 "," 9,774 "," 12,519 "," 12,967 ","13,094","13,496",
Philippines," 57,034 "," 63,756 "," 63,596 "," 61,022 "," 63,457 "," 53,535 "," 50,984 "," 55,876 "," 49,117 ","34,466","31,026",
Qatar, 49 , 33 , 56 , 59 , 88 , 51 , 60 , 79 , 70 ,60,78,
Saudi Arabia, 381 , 518 , 552 , 584 , 616 , 668 , 788 ," 1,164 ", 815 ,703,763,
Singapore, 566 , 620 , 535 , 774 , 798 , 542 , 399 , 561 , 460 ,389,358,
Sri Lanka, 757 , 976 ," 1,377 "," 1,081 "," 1,109 ", 989 , 960 ," 1,277 "," 1,128 ","1,085",903,
Syria," 2,675 "," 2,972 "," 2,837 "," 2,940 "," 2,933 "," 2,426 "," 2,362 "," 3,072 "," 2,269 ","2,840","2,056",
Taiwan," 13,974 "," 15,151 "," 13,274 "," 16,344 "," 14,329 "," 10,032 "," 9,377 "," 13,401 "," 6,745 ","7,097","6,714",
Thailand," 9,332 "," 8,914 "," 7,397 "," 7,090 "," 6,654 "," 5,489 "," 5,136 "," 4,310 "," 3,094 ","3,102","2,381",
Turkey," 2,007 "," 2,468 "," 2,528 "," 2,488 "," 2,204 "," 1,840 "," 2,947 "," 3,657 "," 3,145 ","2,682","2,219",
United Arab Emirates, 114 , 192 , 164 , 172 , 196 , 286 , 317 , 343 , 329 ,329,310,
Vietnam," 37,739 "," 48,792 "," 55,307 "," 77,735 "," 59,614 "," 41,345 "," 41,752 "," 42,067 "," 38,519 ","17,649","20,393",
Yemen, X , X ," 1,547 "," 2,056 "," 1,793 ", 741 ," 1,501 "," 2,209 "," 1,663 ","1,859","1,161",
Yemen (Aden), 135 , 218 , X , X , X , X , X , X , X , X , X ,
Yemen (Sanaa), 831 ," 1,727 ", X , X , X , X , X , X , X , X , X ,
Africa                      ," 25,166 "," 35,893 "," 36,179 "," 27,086 "," 27,783 "," 26,712 "," 42,456 "," 52,889 "," 47,791 ","40,660","36,700",
Algeria, 230 , 302 , 269 , 407 , 360 , 364 , 650 ," 1,059 ", 717 ,804,789,
Angola, 143 , 141 , 132 , 107 , 92 , 75 , 81 , 125 , 75 ,66,57,
Benin, 16 , 27 , 24 , 10 , 21 , 18 , 23 , 38 , 48 ,47,59,
Botswana, 10 , 21 , 3 , 19 , 13 , 13 , 16 , 21 , 18 ,12,5,
Burkina Faso, 11 , 8 , 8 , 16 , 11 , 16 , 17 , 17 , 13 ,14,17,
Burundi, 9 , 5 , 16 , 11 , 13 , 14 , 26 , 36 , 59 ,51,16,
Cameroon, 187 , 380 , 452 , 236 , 262 , 305 , 506 , 803 , 898 ,691,826,
Cape Verde," 1,118 ", 907 , 973 , 757 , 936 , 810 , 968 ," 1,012 ", 920 ,814,909,
Central African Republic, 1 , 14 , 8 , 8 , 15 , 7 , 2 , 27 , 10 ,6,3,
Chad, 4 , 8 , 9 , 4 , 3 , 9 , 11 , 13 , 18 ,8,24,
Comoros, - , - , - , 2 , 3 , 1 , 2 , 3 , 3 ,-,-,
"Congo, Democratic Republic 4", 140 , 256 , 238 , 196 , 233 , 237 , 355 , 433 , 414 ,155,88,
"Congo, Republic 4", 10 , 9 , 22 , 9 , 10 , 11 , 11 , 23 , 31 ,118,190,
Cote d'Ivoire, 98 , 184 , 347 , 259 , 250 , 268 , 289 , 432 , 430 ,364,305,
Djibouti, 8 , 22 , 21 , 14 , 14 , 10 , 25 , 19 , 18 ,15,6,
Egypt," 3,717 "," 4,117 "," 5,602 "," 3,576 "," 3,556 "," 3,392 "," 5,648 "," 6,186 "," 5,031 ","4,831","4,429",
Equatorial Guinea, 2 , 5 , 5 , 2 , 1 , 1 , 1 , 1 , 2 ,7,1,
Eritrea, X , X , X , X , 85 , 468 , 992 , 828 , 948 ,641,326,
Ethiopia," 3,389 "," 4,336 "," 5,127 "," 4,602 "," 5,191 "," 3,887 "," 5,960 "," 6,086 "," 5,904 ","4,205","4,272",
French Southern and Antarctic Lands, 34 , - , - , - , - , - , - , - , - ,-,-,
Gabon, 7 , 11 , 11 , 9 , 5 , 11 , 13 , 29 , 24 ,21,4,
"Gambia, The", 71 , 170 , 159 , 93 , 76 , 93 , 153 , 207 , 176 ,227,183,
Ghana," 2,045 "," 4,466 "," 3,330 "," 1,867 "," 1,604 "," 1,458 "," 3,152 "," 6,606 "," 5,105 ","4,458","3,714",
Guinea, 45 , 67 , 84 , 104 , 102 , 97 , 152 , 220 , 158 ,46,6,
Guinea Bissau, 9 , 8 , 14 , 8 , 1 , - , 2 , 3 , 24 ,165,134,
Kenya, 910 ," 1,297 "," 1,185 ", 953 ," 1,065 "," 1,017 "," 1,419 "," 1,666 "," 1,387 ","1,696","1,412",
Lesotho, 8 , 16 , 4 , 15 , 5 , 8 , 10 , 11 , 6 ,4,5,
Liberia," 1,175 "," 2,004 "," 1,292 ", 999 ," 1,050 "," 1,762 "," 1,929 "," 2,206 "," 2,216 ","1,617","1,358",
Libya, 210 , 268 , 314 , 286 , 343 , 166 , 216 , 250 , 171 ,166,156,
Madagascar, 23 , 37 , 23 , 41 , 32 , 27 , 42 , 43 , 33 ,42,26,
Malawi, 84 , 48 , 68 , 72 , 53 , 55 , 56 , 58 , 72 ,39,41,
Mali, 18 , 34 , 63 , 55 , 51 , 55 , 94 , 124 , 97 ,83,72,
Mauritania, 9 , 3 , 9 , 2 , 9 , 10 , 22 , 26 , 51 ,78,24,
Mauritius, 56 , 67 , 64 , 61 , 83 , 65 , 67 , 84 , 44 ,37,38,
Morocco, 984 ," 1,200 "," 1,601 "," 1,316 "," 1,176 "," 1,074 "," 1,726 "," 1,783 "," 2,359 ","2,410","2,971",
Mozambique, 81 , 100 , 74 , 54 , 56 , 44 , 50 , 59 , 48 ,39,31,
Namibia, 26 , 23 , 14 , 29 , 37 , 24 , 35 , 30 , 22 ,24,13,
Niger, 7 , 3 , 1 , 2 , 4 , 8 , 10 , 102 , 837 ,283,12,
Nigeria," 5,213 "," 8,843 "," 7,912 "," 4,551 "," 4,448 "," 3,950 "," 6,818 "," 10,221 "," 7,038 ","7,746","6,769",
Reunion, 1 , - , - , 1 , 3 , - , 2 , 3 , 1 ,-,-,
Rwanda, 7 , 6 , 12 , 10 , 25 , 16 , 41 , 118 , 170 ,52,98,
Sao Tome and Principe, 7 , 1 , 4 , 7 , - , 1 , 6 , 4 , 2 ,3,6,
Senegal, 141 , 537 , 869 , 337 , 178 , 213 , 506 , 641 , 435 ,373,370,
Seychelles, 13 , 21 , 32 , 30 , 23 , 22 , 18 , 16 , 15 ,5,10,
Sierra Leone, 939 ," 1,290 ", 951 , 693 , 690 , 698 , 919 ," 1,918 "," 1,884 ",955,976,
Somalia, 228 , 277 , 458 , 500 ," 1,088 "," 1,737 "," 3,487 "," 2,170 "," 4,005 ","2,629","1,710",
South Africa," 1,899 "," 1,990 "," 1,854 "," 2,516 "," 2,197 "," 2,144 "," 2,560 "," 2,966 "," 2,093 ","1,904","1,580",
St. Helena, 1 , 1 , 2 , 1 , 4 , - , 3 , 1 , - ,-,-,
Sudan, 272 , 306 , 679 , 675 , 714 , 651 ," 1,645 "," 2,172 "," 2,030 ","1,161","1,354",
Swaziland, 7 , 11 , 5 , 8 , 10 , 7 , 20 , 16 , 11 ,8,8,
Tanzania, 507 , 635 , 500 , 352 , 426 , 357 , 524 , 553 , 399 ,339,316,
Togo, 29 , 30 , 33 , 45 , 41 , 52 , 83 , 157 , 222 ,246,254,
Tunisia, 125 , 226 , 275 , 216 , 167 , 149 , 189 , 228 , 163 ,200,150,
Uganda, 393 , 674 , 538 , 437 , 415 , 391 , 383 , 422 , 400 ,355,250,
Western Sahara, - , - , - , - , - , - , - , 3 , - ,1,-,
Zambia, 259 , 209 , 228 , 210 , 225 , 198 , 222 , 226 , 262 ,213,143,
Zimbabwe, 230 , 272 , 261 , 296 , 308 , 246 , 299 , 385 , 274 ,186,184,
Oceania                     ," 4,360 "," 6,182 "," 6,236 "," 5,169 "," 4,902 "," 4,592 "," 4,695 "," 5,309 "," 4,344 ","3,935","3,676",
American Samoa, 1 , 2 , 2 , - , 1 , - , 1 , 2 , - ,4,11,
Australia," 1,546 "," 1,754 "," 1,678 "," 2,238 "," 2,320 "," 2,049 "," 1,751 "," 1,950 "," 1,630 ","1,147","1,112",
Christmas Island, - , - , - , - , 2 , - , - , - , 1 ,-,-,
Cocos Islands, - , - , - , - , - , - , - , - , 1 ,-,-,
Cook Islands, 7 , 5 , 8 , 6 , 4 , 2 , 2 , 5 , 4 ,1,3,
Fiji, 968 ," 1,353 "," 1,349 ", 807 , 854 ," 1,007 "," 1,491 "," 1,847 "," 1,549 ","1,717","1,601",
French Polynesia, 22 , 29 , 31 , 24 , 28 , 19 , 25 , 15 , 21 ,14,9,
Kiribati, 4 , 5 , 13 , 15 , 4 , 4 , 5 , 6 , 5 ,4,-,
Marshall Islands, 5 , 3 , 2 , 4 , 2 , 1 , 5 , 3 , 3 ,6,3,
"Micronesia, Federated States", 8 , 7 , 6 , 11 , 11 , 7 , 7 , 5 , 2 ,4,2,
Nauru, 7 , 6 , 1 , 2 , 1 , 3 , 2 , 2 , - ,-,-,
New Caledonia, 7 , 8 , 3 , 8 , 2 , 7 , 3 , 11 , - ,4,3,
New Zealand, 789 , 829 , 793 , 967 ," 1,052 ", 918 , 727 , 800 , 655 ,628,527,
Niue, - , - , 1 , - , 1 , 2 , 1 , - , 3 ,1,3,
Northern Mariana Islands, 2 , 5 , 6 , 3 , 3 , - , 4 , 4 , 3 ,3,7,
Palau, 36 , 84 , 70 , 47 , 42 , 21 , 9 , 9 , 8 ,6,2,
Papua New Guinea, 9 , 14 , 20 , 17 , 15 , 22 , 13 , 17 , 15 ,10,14,
Pitcairn Island, - , - , - , - , - , - , - , - , - ,-,1,
Samoa 5, 295 , 690 , 561 , 314 , 200 , 227 , 237 , 215 , 138 ,147,91,
Solomon Islands, 4 , 7 , 2 , 1 , 3 , 5 , 2 , 2 , 1 ,5,2,
Tonga, 646 ," 1,375 "," 1,685 ", 703 , 348 , 293 , 403 , 416 , 303 ,230,283,
Tuvalu, 2 , 4 , - , - , 3 , - , 2 , - , - ,1,-,
Vanuatu, 2 , 2 , 5 , 1 , - , - , 1 , - , 1 ,2,2,
Wallis and Futuna Islands, - , - , - , 1 , 6 , 5 , 4 , - , 1 ,1,-,
North America               ," 607,398 "," 957,558 "," 1,210,981 "," 384,047 "," 301,380 "," 272,226 "," 231,526 "," 340,540 "," 307,488 "," 252,996 "," 271,365 ",
Canada," 12,151 "," 16,812 "," 13,504 "," 15,205 "," 17,156 "," 16,068 "," 12,932 "," 15,825 "," 11,609 ","10,190","8,864",
Greenland, 1 , 3 , 8 , 2 , 3 , 1 , 2 , 2 , 1 ,-,-,
Mexico," 405,172 "," 679,068 "," 946,167 "," 213,802 "," 126,561 "," 111,398 "," 89,932 "," 163,572 "," 146,865 ","131,575","147,573",
St. Pierre and Miquelon, - , - , - , 1 , - , - , 1 , - , - ,-,-,
United States, 108 , 122 , 70 , 66 , 60 , 47 , 57 , 51 , 38 ,31,29,
Caribbean                   ," 88,932 "," 115,351 "," 140,139 "," 97,413 "," 99,438 "," 104,804 "," 96,788 "," 116,801 "," 105,299 ","75,521","71,683",
Anguilla, 43 , 41 , 56 , 46 , 23 , 31 , 26 , 36 , 19 ,26,20,
Antigua-Barbuda, 979 ," 1,319 ", 944 , 619 , 554 , 438 , 374 , 406 , 393 ,297,456,
Aruba, 73 , 83 , 56 , 62 , 36 , 24 , 27 , 28 , 26 ,23,14,
"Bahamas, The", 861 ," 1,378 "," 1,062 ", 641 , 686 , 589 , 585 , 768 , 641 ,602,401,
Barbados," 1,616 "," 1,745 "," 1,460 "," 1,091 "," 1,184 ", 897 , 734 ," 1,043 ", 829 ,726,720,
Bermuda, 182 , 203 , 146 , 153 , 156 , 118 , 111 , 103 , 75 ,63,63,
British Virgin Islands, 258 , 105 , 137 , 174 , 166 , 137 , 98 , 87 , 93 ,55,76,
Cayman Islands, 48 , 53 , 23 , 40 , 16 , 30 , 26 , 24 , 35 ,28,18,
Cuba," 10,046 "," 10,645 "," 10,349 "," 11,791 "," 13,666 "," 14,727 "," 17,937 "," 26,466 "," 33,587 ","17,375","14,132",
Dominica, 748 , 963 , 982 , 809 , 683 , 507 , 591 , 797 , 746 ,283,41,
Dominican Republic," 26,723 "," 42,195 "," 41,405 "," 41,969 "," 45,420 "," 51,189 "," 38,512 "," 39,604 "," 27,053 ","20,387","17,864",
Grenada," 1,046 "," 1,294 ", 979 , 848 , 827 , 595 , 583 , 787 , 755 ,655,667,
Guadeloupe, 38 , 54 , 34 , 50 , 49 , 41 , 48 , 52 , 52 ,30,54,
Haiti," 13,658 "," 20,324 "," 47,527 "," 11,002 "," 10,094 "," 13,333 "," 14,021 "," 18,386 "," 15,057 ","13,449","16,532",
Jamaica," 24,523 "," 25,013 "," 23,828 "," 18,915 "," 17,241 "," 14,349 "," 16,398 "," 19,089 "," 17,840 ","15,146","14,733",
Martinique, 30 , 32 , 25 , 25 , 17 , 20 , 11 , 23 , 20 ,20,23,
Montserrat, 124 , 172 , 143 , 104 , 102 , 69 , 83 , 99 , 99 ,65,80,
Netherlands Antilles, 65 , 80 , 40 , 37 , 65 , 48 , 58 , 76 , 43 ,61,35,
Puerto Rico, 2 , 2 , 5 , 1 , 1 , - , 1 , 2 , 1 ,2,3,
St. Kitts-Nevis, 795 , 896 , 830 , 626 , 544 , 370 , 360 , 357 , 377 ,405,463,
St. Lucia, 709 , 833 , 766 , 654 , 634 , 449 , 403 , 582 , 531 ,509,529,
St. Vincent and the Grenadines, 892 , 973 , 808 , 687 , 657 , 524 , 349 , 606 , 581 ,414,444,
Trinidad and Tobago," 5,394 "," 6,740 "," 8,407 "," 7,008 "," 6,577 "," 6,292 "," 5,424 "," 7,344 "," 6,409 ","4,852","4,283",
Turks and Caicos Islands, 78 , 206 , 121 , 59 , 39 , 26 , 27 , 35 , 37 ,46,27,
U.S. Virgin Islands, 1 , 2 , 6 , 2 , 1 , 1 , 1 , 1 , - ,2,5,
Central America              ," 101,034 "," 146,202 "," 111,093 "," 57,558 "," 58,162 "," 39,908 "," 31,814 "," 44,289 "," 43,676 ","35,679","43,216",
Belize," 2,217 "," 3,867 "," 2,377 "," 1,020 "," 1,035 ", 772 , 644 , 786 , 664 ,496,572,
Costa Rica," 1,985 "," 2,840 "," 2,341 "," 1,480 "," 1,368 "," 1,205 "," 1,062 "," 1,504 "," 1,330 ","1,204",886,
El Salvador," 57,878 "," 80,173 "," 47,351 "," 26,191 "," 26,818 "," 17,644 "," 11,744 "," 17,903 "," 17,969 ","14,590","14,606",
Guatemala," 19,049 "," 32,303 "," 25,527 "," 10,521 "," 11,870 "," 7,389 "," 6,213 "," 8,763 "," 7,785 ","7,759","7,308",
Honduras," 7,593 "," 12,024 "," 11,451 "," 6,552 "," 7,306 "," 5,265 "," 5,496 "," 5,870 "," 7,616 ","6,463","4,809",
Nicaragua," 8,830 "," 11,562 "," 17,842 "," 8,949 "," 7,086 "," 5,255 "," 4,408 "," 6,903 "," 6,331 ","3,521","13,389",
Panama," 3,482 "," 3,433 "," 4,204 "," 2,845 "," 2,679 "," 2,378 "," 2,247 "," 2,560 "," 1,981 ","1,646","1,646",
South America                ," 58,926 "," 85,819 "," 79,934 "," 55,308 "," 53,921 "," 47,377 "," 45,666 "," 61,769 "," 52,877 ","45,394","41,585",
Argentina," 3,301 "," 5,437 "," 3,889 "," 3,877 "," 2,824 "," 2,318 "," 1,762 "," 2,456 "," 1,964 ","1,511","1,393",
Bolivia," 1,805 "," 2,843 "," 3,006 "," 1,510 "," 1,545 "," 1,404 "," 1,332 "," 1,913 "," 1,734 ","1,513","1,448",
Brazil," 3,332 "," 4,191 "," 8,133 "," 4,755 "," 4,604 "," 4,491 "," 4,558 "," 5,891 "," 4,583 ","4,401","3,902",
Chile," 3,037 "," 4,049 "," 2,842 "," 1,937 "," 1,778 "," 1,640 "," 1,534 "," 1,706 "," 1,443 ","1,240","1,092",
Colombia," 15,214 "," 24,189 "," 19,702 "," 13,201 "," 12,819 "," 10,847 "," 10,838 "," 14,283 "," 13,004 ","11,836","9,966",
Ecuador," 7,532 "," 12,476 "," 9,958 "," 7,286 "," 7,324 "," 5,906 "," 6,397 "," 8,321 "," 7,780 ","6,852","8,904",
Falkland Islands, - , 1 , - , - , - , - , - , - , 1 ,1,-,
French Guiana, 2 , 2 , 2 , 2 , 6 , 10 , 4 , 5 , 6 ,1,5,
Guyana," 10,789 "," 11,362 "," 11,666 "," 9,064 "," 8,384 "," 7,662 "," 7,362 "," 9,489 "," 7,257 ","3,963","3,300",
Paraguay, 529 , 704 , 538 , 514 , 668 , 789 , 559 , 615 , 304 ,275,217,
Peru," 10,175 "," 15,726 "," 16,237 "," 9,868 "," 10,447 "," 9,177 "," 8,066 "," 12,871 "," 10,853 ","10,154","8,438",
Suriname, 163 , 240 , 178 , 238 , 211 , 190 , 213 , 211 , 191 ,143,141,
